2025-07-23 18:35:43.462 | ERROR    | src.sync_manager:run_sync_cycle:231 - Error during sync cycle: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.463 | ERROR    | src.sync_manager:start_continuous_sync:244 - Error in continuous sync: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.579 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.work_orders: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.579 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.work_orders: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.696 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.820 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:43.944 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.059 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.177 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.285 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.392 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.507 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.619 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.746 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.860 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:44.966 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:35:45.232 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
2025-07-23 18:35:45.232 | INFO     | src.sync_manager:sync_fsm_data:29 - Starting FSM data sync...
